place,url,scrape_time,day_of_week,hour_of_day,popularity_percent_normal,Base_Price
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,0,24,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,1,9,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,2,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,3,1,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,4,2,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,5,2,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,6,5,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,7,8,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,8,12,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,9,15,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,10,17,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,11,21,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,12,26,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,13,33,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,14,42,210
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,15,50,250
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,16,54,270
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,17,51,255
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,18,44,220
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,19,36,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,20,32,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,21,31,200
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,22,31,200
